request_id,user_id,system_requested,access_level,department_at_request,request_date,approval_date,provisioned_date,approver_id,approval_status,business_justification_present,provisioned_before_approval_flag,missing_approval_flag
AR00069,U0196,Microsoft 365,standard,Graduate Programs,2026-05-27,2026-05-31,2026-06-01,U0465,approved,FALSE,FALSE,FALSE
AR00070,U0106,VPN,standard,Admissions,2026-02-21,,,,pending,TRUE,FALSE,FALSE
AR00071,U0070,Tableau,admin,Research Administration,2026-02-07,2026-02-09,2026-02-06,U0104,approved,TRUE,TRUE,FALSE
AR00072,U0061,VPN,standard,Admissions,2026-02-07,2026-02-10,2026-02-12,U0451,approved,TRUE,FALSE,FALSE
AR00073,U0479,ServiceNow,standard,Human Resources,2026-02-18,2026-02-22,2026-02-23,U0375,approved,TRUE,FALSE,FALSE
AR00074,U0306,Microsoft 365,standard,Admissions,2026-01-07,2026-01-08,2026-01-11,U0249,approved,TRUE,FALSE,FALSE
AR00075,U0365,Oracle Financials,standard,Student Affairs,2026-04-10,2026-04-11,2026-04-10,U0118,approved,TRUE,TRUE,FALSE
AR00076,U0474,ServiceNow,admin,Data Analytics,2026-02-26,2026-02-27,2026-02-25,U0373,approved,FALSE,TRUE,FALSE
AR00077,U0251,Oracle Financials,elevated,Student Affairs,2026-03-05,2026-03-10,2026-03-12,U0298,approved,TRUE,FALSE,FALSE
AR00078,U0481,Workday,standard,Graduate Programs,2026-04-26,2026-04-27,2026-04-30,U0451,approved,TRUE,FALSE,FALSE
AR00079,U0377,Workday,standard,Procurement,2026-05-13,2026-05-15,2026-05-17,U0118,approved,FALSE,FALSE,FALSE
AR00080,U0397,ServiceNow,standard,Student Affairs,2026-04-19,2026-04-23,2026-04-26,U0348,approved,FALSE,FALSE,FALSE
AR00081,U0425,AWS Console,standard,Finance,2026-05-09,2026-05-14,2026-05-17,U0474,approved,TRUE,FALSE,FALSE
AR00082,U0212,Oracle Financials,standard,Human Resources,2026-02-15,2026-02-16,2026-02-16,U0458,approved,FALSE,FALSE,FALSE
AR00083,U0129,Oracle Financials,standard,Finance,2026-02-11,2026-02-16,2026-02-18,U0073,approved,TRUE,FALSE,FALSE
AR00084,U0044,Tableau,elevated,Information Technology,2026-05-11,2026-05-14,2026-05-13,U0278,approved,TRUE,TRUE,FALSE
AR00085,U0290,VPN,standard,Student Affairs,2026-02-07,2026-02-09,2026-02-12,U0206,approved,TRUE,FALSE,FALSE
AR00086,U0148,VPN,standard,Admissions,2026-02-03,,,,denied,TRUE,FALSE,FALSE
AR00087,U0007,AWS Console,standard,Finance,2026-05-08,2026-05-11,2026-05-14,U0457,approved,TRUE,FALSE,FALSE
AR00088,U0233,Tableau,standard,Finance,2026-06-03,2026-06-05,2026-06-06,U0280,approved,TRUE,FALSE,FALSE
AR00089,U0026,VPN,standard,Procurement,2026-03-31,2026-04-04,2026-04-06,U0336,approved,TRUE,FALSE,FALSE
AR00090,U0170,Salesforce,standard,Student Affairs,2026-04-17,,,,denied,TRUE,FALSE,FALSE
AR00091,U0359,VPN,admin,Operations,2026-05-29,2026-05-31,2026-06-03,U0376,approved,TRUE,FALSE,FALSE
AR00092,U0389,Tableau,elevated,Research Administration,2026-01-17,2026-01-19,2026-01-22,U0348,approved,TRUE,FALSE,FALSE
AR00093,U0357,Microsoft 365,standard,Student Affairs,2026-01-28,2026-01-28,2026-01-30,U0272,approved,FALSE,FALSE,FALSE
AR00094,U0219,Oracle Financials,standard,Graduate Programs,2026-05-28,,,,denied,TRUE,FALSE,FALSE
AR00095,U0289,AWS Console,standard,Admissions,2026-05-08,2026-05-09,2026-05-10,U0312,approved,TRUE,FALSE,FALSE
AR00096,U0001,Salesforce,standard,Information Technology,2026-06-10,2026-06-14,2026-06-17,U0126,approved,TRUE,FALSE,FALSE
AR00097,U0024,Oracle Financials,standard,Finance,2026-02-24,2026-02-26,2026-02-28,U0146,approved,TRUE,FALSE,FALSE
AR00098,U0154,Oracle Financials,elevated,Graduate Programs,2026-01-30,2026-02-03,2026-02-03,U0353,approved,TRUE,FALSE,FALSE
AR00099,U0100,Oracle Financials,elevated,Data Analytics,2026-05-03,,,,pending,TRUE,FALSE,FALSE
AR00100,U0457,Oracle Financials,standard,Procurement,2026-04-16,,,,pending,TRUE,FALSE,FALSE
AR00101,U0290,Oracle Financials,standard,Student Affairs,2026-01-05,2026-01-07,2026-01-06,U0391,approved,TRUE,TRUE,FALSE
AR00102,U0144,Workday,standard,Student Affairs,2026-04-07,2026-04-11,2026-04-11,U0284,approved,TRUE,FALSE,FALSE
AR00103,U0443,ServiceNow,elevated,Student Affairs,2026-03-22,2026-03-25,2026-03-27,U0055,approved,TRUE,FALSE,FALSE
AR00104,U0487,ServiceNow,standard,Student Affairs,2026-03-19,2026-03-20,2026-03-23,U0021,approved,TRUE,FALSE,FALSE
AR00105,U0260,Workday,elevated,Human Resources,2026-05-09,2026-05-14,2026-05-16,U0249,approved,TRUE,FALSE,FALSE
AR00106,U0447,Salesforce,elevated,Research Administration,2026-05-13,2026-05-13,2026-05-13,U0352,approved,FALSE,FALSE,FALSE
AR00107,U0478,Workday,standard,Procurement,2026-06-02,,,,pending,TRUE,FALSE,FALSE
AR00108,U0053,ServiceNow,standard,Graduate Programs,2026-03-21,2026-03-22,2026-03-24,U0122,approved,TRUE,FALSE,FALSE
AR00109,U0396,AWS Console,standard,Finance,2026-03-11,2026-03-15,2026-03-15,U0005,approved,TRUE,FALSE,FALSE
AR00110,U0106,Oracle Financials,standard,Operations,2026-03-11,2026-03-15,2026-03-15,U0146,approved,TRUE,FALSE,FALSE
AR00111,U0457,Oracle Financials,standard,Procurement,2026-01-13,2026-01-13,2026-01-13,U0340,approved,TRUE,FALSE,FALSE
AR00112,U0045,Tableau,standard,Student Affairs,2026-06-02,,,,pending,TRUE,FALSE,FALSE
AR00113,U0229,Oracle Financials,standard,Data Analytics,2026-02-20,2026-02-20,2026-02-23,U0277,approved,TRUE,FALSE,FALSE
AR00114,U0291,VPN,standard,Human Resources,2026-04-30,2026-05-05,2026-05-08,U0326,approved,TRUE,FALSE,FALSE
AR00115,U0119,Microsoft 365,standard,Finance,2026-06-07,2026-06-12,2026-06-14,U0113,approved,TRUE,FALSE,FALSE
AR00116,U0404,Oracle Financials,standard,Admissions,2026-01-08,2026-01-11,2026-01-13,U0249,approved,TRUE,FALSE,FALSE
AR00117,U0394,Oracle Financials,standard,Procurement,2026-02-02,2026-02-02,2026-02-02,U0351,approved,TRUE,FALSE,FALSE
AR00118,U0406,ServiceNow,standard,Admissions,2026-04-13,2026-04-17,2026-04-20,U0136,approved,TRUE,FALSE,FALSE
AR00119,U0175,Microsoft 365,elevated,Research Administration,2026-06-01,2026-06-03,2026-06-04,U0282,approved,FALSE,FALSE,FALSE
AR00120,U0343,Salesforce,elevated,Human Resources,2026-05-27,2026-05-30,2026-05-30,U0292,approved,TRUE,FALSE,FALSE
AR00121,U0091,ServiceNow,admin,Procurement,2026-01-18,2026-01-21,2026-01-21,U0292,approved,FALSE,FALSE,FALSE
AR00122,U0419,VPN,elevated,Operations,2026-01-01,2026-01-05,2026-01-08,U0229,approved,TRUE,FALSE,FALSE
AR00123,U0349,Oracle Financials,standard,Procurement,2026-03-19,,,,pending,FALSE,FALSE,FALSE
AR00124,U0469,Oracle Financials,admin,Finance,2026-05-30,2026-05-31,2026-05-31,U0198,approved,FALSE,FALSE,FALSE
AR00125,U0282,Workday,standard,Admissions,2026-05-24,2026-05-26,2026-05-27,U0449,approved,TRUE,FALSE,FALSE
AR00126,U0222,Tableau,standard,Procurement,2026-04-08,2026-04-13,2026-04-14,U0130,approved,TRUE,FALSE,FALSE
AR00127,U0097,Tableau,elevated,Data Analytics,2026-04-03,2026-04-08,2026-04-08,U0451,approved,FALSE,FALSE,FALSE
AR00128,U0370,AWS Console,standard,Finance,2026-02-04,2026-02-07,2026-02-10,U0206,approved,TRUE,FALSE,FALSE
AR00129,U0320,VPN,standard,Research Administration,2026-04-19,2026-04-20,2026-04-20,U0181,approved,TRUE,FALSE,FALSE
AR00130,U0296,AWS Console,elevated,Admissions,2026-03-02,2026-03-06,2026-03-06,U0470,approved,TRUE,FALSE,FALSE
AR00131,U0291,AWS Console,elevated,Human Resources,2026-01-29,2026-01-30,2026-02-01,U0049,approved,FALSE,FALSE,FALSE
AR00132,U0041,Salesforce,standard,Information Technology,2026-01-20,2026-01-22,2026-01-24,U0284,approved,TRUE,FALSE,FALSE
AR00133,U0274,Workday,standard,Data Analytics,2026-05-12,,,,pending,TRUE,FALSE,FALSE
AR00134,U0181,ServiceNow,standard,Student Affairs,2026-01-10,2026-01-15,2026-01-17,U0152,approved,TRUE,FALSE,FALSE
AR00135,U0032,AWS Console,standard,Student Affairs,2026-05-27,2026-06-01,2026-06-03,U0394,approved,FALSE,FALSE,FALSE
AR00136,U0249,Salesforce,standard,Information Technology,2026-01-20,2026-01-24,2026-01-26,U0079,approved,TRUE,FALSE,FALSE
AR00137,U0058,VPN,admin,Data Analytics,2026-02-08,2026-02-10,2026-02-11,U0105,approved,TRUE,FALSE,FALSE
AR00138,U0410,Workday,standard,Student Affairs,2026-01-22,,,,denied,TRUE,FALSE,FALSE
AR00139,U0386,Tableau,elevated,Student Affairs,2026-03-02,2026-03-03,2026-03-05,U0104,approved,FALSE,FALSE,FALSE
AR00140,U0136,Salesforce,standard,Graduate Programs,2026-04-29,2026-05-03,2026-05-06,U0373,approved,TRUE,FALSE,FALSE
AR00141,U0243,ServiceNow,standard,Research Administration,2026-04-22,2026-04-25,2026-04-25,U0229,approved,FALSE,FALSE,FALSE
AR00142,U0050,Oracle Financials,admin,Finance,2026-04-21,2026-04-23,2026-04-23,U0144,approved,TRUE,FALSE,FALSE
AR00143,U0300,Tableau,standard,Human Resources,2026-03-03,2026-03-07,2026-03-08,U0118,approved,TRUE,FALSE,FALSE
AR00144,U0161,Workday,standard,Graduate Programs,2026-01-18,2026-01-23,2026-01-24,U0070,approved,TRUE,FALSE,FALSE
AR00145,U0372,ServiceNow,standard,Finance,2026-01-09,2026-01-13,2026-01-14,U0474,approved,TRUE,FALSE,FALSE
AR00146,U0487,Salesforce,elevated,Student Affairs,2026-01-31,2026-02-05,2026-02-06,U0191,approved,TRUE,FALSE,FALSE
AR00147,U0357,VPN,standard,Student Affairs,2026-04-30,2026-05-02,2026-05-04,U0233,approved,TRUE,FALSE,FALSE
AR00148,U0132,VPN,elevated,Finance,2026-03-12,2026-03-12,2026-03-14,U0172,approved,FALSE,FALSE,FALSE
AR00149,U0036,AWS Console,admin,Operations,2026-02-21,2026-02-21,2026-02-24,U0254,approved,TRUE,FALSE,FALSE
AR00150,U0330,Salesforce,admin,Student Affairs,2026-03-08,2026-03-13,2026-03-16,U0283,approved,FALSE,FALSE,FALSE
AR00151,U0255,VPN,standard,Admissions,2026-01-01,,,,pending,TRUE,FALSE,FALSE
AR00152,U0359,Oracle Financials,admin,Operations,2026-05-28,2026-05-31,2026-06-03,U0376,approved,TRUE,FALSE,FALSE
AR00153,U0400,Salesforce,standard,Research Administration,2026-01-01,2026-01-04,2026-01-06,U0380,approved,TRUE,FALSE,FALSE
AR00154,U0171,ServiceNow,standard,Operations,2026-01-24,2026-01-24,2026-01-26,U0179,approved,TRUE,FALSE,FALSE
AR00155,U0332,Microsoft 365,standard,Operations,2026-01-11,,,,denied,TRUE,FALSE,FALSE
AR00156,U0200,Salesforce,standard,Data Analytics,2026-04-02,2026-04-07,2026-04-07,U0214,approved,FALSE,FALSE,FALSE
AR00157,U0099,Workday,elevated,Human Resources,2026-06-01,2026-06-05,2026-06-08,U0387,approved,TRUE,FALSE,FALSE
AR00158,U0428,AWS Console,admin,Human Resources,2026-01-05,2026-01-10,2026-01-09,U0386,approved,TRUE,TRUE,FALSE
AR00159,U0335,AWS Console,admin,Graduate Programs,2026-05-18,2026-05-18,2026-05-17,U0470,approved,TRUE,TRUE,FALSE
AR00160,U0010,AWS Console,admin,Procurement,2026-06-08,2026-06-08,2026-06-08,U0079,approved,TRUE,FALSE,FALSE
AR00161,U0421,Salesforce,standard,Graduate Programs,2026-02-13,2026-02-13,2026-02-14,U0402,approved,TRUE,FALSE,FALSE
AR00162,U0033,Microsoft 365,standard,Finance,2026-04-13,2026-04-17,2026-04-18,U0283,approved,FALSE,FALSE,FALSE
AR00163,U0392,Workday,standard,Graduate Programs,2026-03-27,2026-03-30,2026-04-01,U0373,approved,TRUE,FALSE,FALSE
AR00164,U0284,VPN,standard,Research Administration,2026-05-29,2026-06-03,2026-06-04,U0422,approved,TRUE,FALSE,FALSE
AR00165,U0009,AWS Console,standard,Admissions,2026-01-02,2026-01-06,2026-01-09,U0332,approved,TRUE,FALSE,FALSE
AR00166,U0356,AWS Console,standard,Procurement,2026-02-22,2026-02-25,2026-02-26,U0229,approved,TRUE,FALSE,FALSE
AR00167,U0313,Workday,standard,Graduate Programs,2026-05-08,2026-05-10,2026-05-10,U0409,approved,TRUE,FALSE,FALSE
AR00168,U0286,Microsoft 365,standard,Research Administration,2026-05-16,,,,denied,TRUE,FALSE,FALSE
AR00169,U0277,Microsoft 365,standard,Information Technology,2026-06-10,2026-06-10,2026-06-09,U0118,approved,TRUE,TRUE,FALSE
AR00170,U0255,VPN,standard,Admissions,2026-01-12,2026-01-15,2026-01-18,U0126,approved,TRUE,FALSE,FALSE
AR00171,U0023,Salesforce,elevated,Student Affairs,2026-05-18,2026-05-22,2026-05-23,U0254,approved,TRUE,FALSE,FALSE
AR00172,U0304,Oracle Financials,standard,Data Analytics,2026-03-25,2026-03-25,2026-03-28,U0132,approved,TRUE,FALSE,FALSE
AR00173,U0446,Microsoft 365,standard,Data Analytics,2026-02-26,2026-03-01,2026-03-04,U0038,approved,TRUE,FALSE,FALSE
AR00174,U0092,Tableau,standard,Graduate Programs,2026-04-28,2026-04-30,2026-05-01,U0485,approved,TRUE,FALSE,FALSE
AR00175,U0017,Workday,standard,Finance,2026-01-29,2026-01-31,2026-02-02,U0104,approved,TRUE,FALSE,FALSE
AR00176,U0310,VPN,elevated,Human Resources,2026-06-06,,,,pending,TRUE,FALSE,FALSE
AR00177,U0211,AWS Console,elevated,Graduate Programs,2026-02-25,2026-02-25,2026-02-26,U0145,approved,TRUE,FALSE,FALSE
AR00178,U0223,Microsoft 365,elevated,Student Affairs,2026-06-01,,,,denied,FALSE,FALSE,FALSE
AR00179,U0023,Workday,admin,Student Affairs,2026-05-10,2026-05-15,2026-05-18,U0249,approved,TRUE,FALSE,FALSE
AR00180,U0043,Workday,standard,Graduate Programs,2026-04-15,,,,denied,TRUE,FALSE,FALSE
AR00181,U0332,Salesforce,standard,Operations,2026-03-20,2026-03-25,2026-03-28,U0283,approved,TRUE,FALSE,FALSE
AR00182,U0238,VPN,elevated,Information Technology,2026-04-14,2026-04-17,2026-04-17,U0313,approved,TRUE,FALSE,FALSE
AR00183,U0037,Tableau,elevated,Data Analytics,2026-03-27,2026-03-29,2026-03-26,U0373,approved,TRUE,TRUE,FALSE
AR00184,U0042,Oracle Financials,elevated,Data Analytics,2026-01-15,2026-01-15,2026-01-17,U0187,approved,FALSE,FALSE,FALSE
AR00185,U0021,Oracle Financials,standard,Information Technology,2026-05-24,2026-05-25,2026-05-27,U0386,approved,TRUE,FALSE,FALSE
AR00186,U0123,Salesforce,standard,Finance,2026-05-29,,,,pending,TRUE,FALSE,FALSE
AR00187,U0390,Microsoft 365,standard,Data Analytics,2026-03-10,2026-03-10,2026-03-13,U0038,approved,TRUE,FALSE,FALSE
AR00188,U0249,Salesforce,standard,Information Technology,2026-05-17,2026-05-20,2026-05-20,U0150,approved,TRUE,FALSE,FALSE
AR00189,U0453,AWS Console,standard,Student Affairs,2026-04-11,,,,pending,TRUE,FALSE,FALSE
AR00190,U0056,VPN,standard,Research Administration,2026-02-07,2026-02-12,2026-02-10,U0271,approved,TRUE,TRUE,FALSE
AR00191,U0497,VPN,standard,Information Technology,2026-04-18,2026-04-19,2026-04-18,U0150,approved,TRUE,TRUE,FALSE
AR00192,U0428,Oracle Financials,standard,Human Resources,2026-03-29,2026-04-02,2026-04-05,U0254,approved,TRUE,FALSE,FALSE
AR00193,U0235,ServiceNow,standard,Student Affairs,2026-03-20,2026-03-22,2026-03-22,U0249,approved,TRUE,FALSE,FALSE
AR00194,U0076,Oracle Financials,standard,Data Analytics,2026-02-12,2026-02-14,2026-02-15,U0273,approved,TRUE,FALSE,FALSE
AR00195,U0430,VPN,standard,Data Analytics,2026-01-30,2026-02-02,2026-02-03,U0079,approved,TRUE,FALSE,FALSE
AR00196,U0106,Workday,standard,Admissions,2026-03-30,2026-03-31,2026-03-31,U0485,approved,TRUE,FALSE,FALSE
AR00197,U0208,AWS Console,elevated,Information Technology,2026-04-28,,,,pending,TRUE,FALSE,FALSE
AR00198,U0260,Oracle Financials,standard,Human Resources,2026-03-17,2026-03-21,2026-03-24,U0478,approved,TRUE,FALSE,FALSE
AR00199,U0058,AWS Console,admin,Data Analytics,2026-02-05,2026-02-08,2026-02-09,U0011,approved,TRUE,FALSE,FALSE
AR00200,U0048,Oracle Financials,standard,Procurement,2026-02-19,2026-02-21,2026-02-21,U0473,approved,TRUE,FALSE,FALSE
AR00201,U0276,AWS Console,standard,Operations,2026-01-23,,,,denied,TRUE,FALSE,FALSE
AR00202,U0309,Workday,admin,Operations,2026-04-03,2026-04-05,2026-04-05,U0207,approved,TRUE,FALSE,FALSE
AR00203,U0180,ServiceNow,admin,Human Resources,2026-05-24,2026-05-29,2026-06-01,U0214,approved,TRUE,FALSE,FALSE
AR00204,U0413,Tableau,elevated,Graduate Programs,2026-04-17,2026-04-18,2026-04-21,U0055,approved,TRUE,FALSE,FALSE
AR00205,U0269,Oracle Financials,standard,Student Affairs,2026-06-01,2026-06-06,2026-06-03,U0203,approved,TRUE,TRUE,FALSE
AR00206,U0237,VPN,standard,Research Administration,2026-04-08,2026-04-10,2026-04-12,U0407,approved,TRUE,FALSE,FALSE
AR00207,U0253,AWS Console,standard,Finance,2026-01-01,2026-01-06,2026-01-08,U0324,approved,TRUE,FALSE,FALSE
AR00208,U0252,Microsoft 365,standard,Human Resources,2026-03-12,2026-03-17,2026-03-20,U0292,approved,FALSE,FALSE,FALSE
AR00209,U0290,Tableau,elevated,Student Affairs,2026-06-10,2026-06-10,2026-06-10,U0402,approved,FALSE,FALSE,FALSE
AR00210,U0084,Workday,standard,Admissions,2026-04-29,,,,pending,TRUE,FALSE,FALSE
AR00211,U0140,Oracle Financials,standard,Research Administration,2026-04-02,2026-04-02,2026-04-03,U0324,approved,TRUE,FALSE,FALSE
AR00212,U0392,Salesforce,standard,Graduate Programs,2026-02-12,2026-02-17,2026-02-19,U0407,approved,TRUE,FALSE,FALSE
AR00213,U0351,Oracle Financials,standard,Human Resources,2026-05-29,2026-06-02,2026-06-05,U0084,approved,TRUE,FALSE,FALSE
